,index,test,test,forecast
0,2011-11-23,90.39,,
1,2011-11-24,213.41,,
2,2011-11-25,303.99,,
3,2011-11-26,420.98,,
4,2011-11-27,444.88,,
5,2011-11-28,500.69,,
6,2011-11-29,584.32,,
7,2011-11-30,669.83,,
8,2011-12-01,848.95,,
9,2011-12-02,1014.59,,
10,2011-12-03,1185.83,,
11,2011-12-04,1337.94,,
12,2011-12-05,1336.82,,
13,2011-12-06,1540.89,,
14,2011-12-07,1655.18,,
15,2011-12-08,1924.7,,
16,2011-12-09,2163.81,,
17,2011-12-10,2539.39,,
18,2011-12-11,2763.58,,
19,2011-12-12,2581.62,,
20,2011-12-13,2678.47,,
21,2011-12-14,2875.12,,
22,2011-12-15,3101.38,,
23,2011-12-16,3504.53,,
24,2011-12-17,3783.35,,
25,2011-12-18,4125.04,,
26,2011-12-19,4270.09,,
27,2011-12-20,4181.3,,
28,2011-12-21,4239.85,,
29,2011-12-22,4345.06,,
30,2011-12-23,4632.39,,
31,2011-12-24,4938.69,,
32,2011-12-25,4894.88,,
33,2011-12-26,4182.79,,
34,2011-12-27,4345.09,,
35,2011-12-28,4562.98,,
36,2011-12-29,4882.26,,
37,2011-12-30,5098.13,,
38,2011-12-31,5111.2,,
39,2012-01-01,5123.63,,
40,2012-01-02,5242.2,,
41,2012-01-03,5327.01,,
42,2012-01-04,5351.28,,
43,2012-01-05,5409.04,,
44,2012-01-06,5380.4,,
45,2012-01-07,5412.56,,
46,2012-01-08,5666.33,,
47,2012-01-09,5290.85,,
48,2012-01-10,5137.77,,
49,2012-01-11,5139.94,,
50,2012-01-12,5232.66,,
51,2012-01-13,5459.92,,
52,2012-01-14,5924.88,,
53,2012-01-15,6162.34,,
54,2012-01-16,5832.37,,
55,2012-01-17,5956.91,,
56,2012-01-18,5806.3,,
57,2012-01-19,5695.49,,
58,2012-01-20,6135.85,,
59,2012-01-21,6278.65,,
60,2012-01-22,6764.35,,
61,2012-01-23,6420.59,,
62,2012-01-24,6642.08,,
63,2012-01-25,6615.69,,
64,2012-01-26,6594.3,,
65,2012-01-27,6809.7,,
66,2012-01-28,7405.85,,
67,2012-01-29,7826.68,,
68,2012-01-30,7627.27,,
69,2012-01-31,8070.39,,
70,2012-02-01,8150.83,,
71,2012-02-02,8736.23,,
72,2012-02-03,9104.84,,
73,2012-02-04,9607.72,,
74,2012-02-05,10106.11,,
75,2012-02-06,9200.58,,
76,2012-02-07,9259.81,,
77,2012-02-08,10242.81,,
78,2012-02-09,9808.07,,
79,2012-02-10,10166.62,,
80,2012-02-11,10411.57,,
81,2012-02-12,11115.04,,
82,2012-02-13,10128.26,,
83,2012-02-14,9734.7,,
84,2012-02-15,9464.26,,
85,2012-02-16,9230.91,,
86,2012-02-17,9157.1,,
87,2012-02-18,9560.53,,
88,2012-02-19,10151.22,,
89,2012-02-20,10032.93,,
90,2012-02-21,9669.36,,
91,2012-02-22,10049.21,,
92,2012-02-23,9193.1,,
93,2012-02-24,9249.62,,
94,2012-02-25,9503.89,,
95,2012-02-26,10017.6,,
96,2012-02-27,9988.87,,
97,2012-02-28,9578.67,,
98,2012-02-29,9708.55,,
99,2012-03-01,9558.6,,
100,2012-03-02,10224.23,,
101,2012-03-03,10559.85,,
102,2012-03-04,11645.93,,
103,2012-03-05,11101.29,,
104,2012-03-06,11569.92,,
105,2012-03-07,11456.44,,
106,2012-03-08,10936.8,,
107,2012-03-09,11160.12,,
108,2012-03-10,11030.66,,
109,2012-03-11,11145.29,,
110,2012-03-12,10361.43,,
111,2012-03-13,10579.0,,
112,2012-03-14,10772.66,,
113,2012-03-15,11024.78,,
114,2012-03-16,11682.84,,
115,2012-03-17,12305.51,,
116,2012-03-18,12641.66,,
117,2012-03-19,11840.92,,
118,2012-03-20,11728.89,,
119,2012-03-21,11657.08,,
120,2012-03-22,11674.31,,
121,2012-03-23,11956.16,,
122,2012-03-24,12160.82,,
123,2012-03-25,12719.75,,
124,2012-03-26,12011.9,,
125,2012-03-27,11643.88,,
126,2012-03-28,11703.84,,
127,2012-03-29,11490.51,,
128,2012-03-30,11492.28,,
129,2012-03-31,12862.42,,
130,2012-04-01,13271.96,,
131,2012-04-02,12586.53,,
132,2012-04-03,13122.63,,
133,2012-04-04,13499.77,,
134,2012-04-05,14275.26,,
135,2012-04-06,14166.79,,
136,2012-04-07,13829.76,,
137,2012-04-08,14225.89,,
138,2012-04-09,14258.77,,
139,2012-04-10,13588.55,,
140,2012-04-11,14119.76,,
141,2012-04-12,14596.47,,
142,2012-04-13,14815.51,,
143,2012-04-14,15362.41,,
144,2012-04-15,16667.27,,
145,2012-04-16,16168.63,,
146,2012-04-17,16977.29,,
147,2012-04-18,17798.19,,
148,2012-04-19,18145.62,,
149,2012-04-20,17916.42,,
150,2012-04-21,18058.7,,
151,2012-04-22,18821.71,,
152,2012-04-23,18552.97,,
153,2012-04-24,18690.74,,
154,2012-04-25,20039.32,,
155,2012-04-26,19379.38,,
156,2012-04-27,19492.96,,
157,2012-04-28,21802.29,,
158,2012-04-29,23521.64,,
159,2012-04-30,19711.57,,
160,2012-05-01,20052.46,,
161,2012-05-02,20800.04,,
162,2012-05-03,22983.44,,
163,2012-05-04,23376.23,,
164,2012-05-05,24115.75,,
165,2012-05-06,25069.82,,
166,2012-05-07,24799.33,,
167,2012-05-08,22697.14,,
168,2012-05-09,23930.94,,
169,2012-05-10,23786.59,,
170,2012-05-11,23265.23,,
171,2012-05-12,24573.94,,
172,2012-05-13,25499.5,,
173,2012-05-14,25471.41,,
174,2012-05-15,26962.94,,
175,2012-05-16,23553.56,,
176,2012-05-17,26404.84,,
177,2012-05-18,27501.35,,
178,2012-05-19,27948.34,,
179,2012-05-20,30409.43,,
180,2012-05-21,28194.5,,
181,2012-05-22,27028.49,,
182,2012-05-23,26913.89,,
183,2012-05-24,27115.15,,
184,2012-05-25,27570.67,,
185,2012-05-26,28215.43,,
186,2012-05-27,29319.49,,
187,2012-05-28,28499.86,,
188,2012-05-29,28586.09,,
189,2012-05-30,28805.46,,
190,2012-05-31,29598.67,,
191,2012-06-01,30278.77,,
192,2012-06-02,31599.76,,
193,2012-06-03,34793.98,,
194,2012-06-04,33059.64,,
195,2012-06-05,34515.66,,
196,2012-06-06,31933.46,,
197,2012-06-07,33597.37,,
198,2012-06-08,34180.63,,
199,2012-06-09,33429.13,,
200,2012-06-10,35620.78,,
201,2012-06-11,37268.22,,
202,2012-06-12,36505.28,,
203,2012-06-13,27945.09,,
204,2012-06-14,31563.78,,
205,2012-06-15,28245.46,,
206,2012-06-16,28835.05,,
207,2012-06-17,36371.08,,
208,2012-06-18,34255.85,,
209,2012-06-19,33553.42,,
210,2012-06-20,33291.0,,
211,2012-06-21,34897.88,,
212,2012-06-22,35143.52,,
213,2012-06-23,35936.24,,
214,2012-06-24,37537.69,,
215,2012-06-25,34570.67,,
216,2012-06-26,34439.92,,
217,2012-06-27,34593.25,,
218,2012-06-28,34114.68,,
219,2012-06-29,34444.35,,
220,2012-06-30,34421.9,,
221,2012-07-01,36555.65,,
222,2012-07-02,36552.42,,
223,2012-07-03,35671.76,,
224,2012-07-04,34921.62,,
225,2012-07-05,35166.29,,
226,2012-07-06,36397.91,,
227,2012-07-07,37877.55,,
228,2012-07-08,40721.07,,
229,2012-07-09,38590.28,,
230,2012-07-10,38256.1,,
231,2012-07-11,38083.2,,
232,2012-07-12,38564.39,,
233,2012-07-13,38797.33,,
234,2012-07-14,40751.08,,
235,2012-07-15,40955.01,,
236,2012-07-16,40635.19,,
237,2012-07-17,38616.22,,
238,2012-07-18,39177.45,,
239,2012-07-19,38509.47,,
240,2012-07-20,39070.86,,
241,2012-07-21,38614.85,,
242,2012-07-22,39109.28,,
243,2012-07-23,37942.49,,
244,2012-07-24,37556.17,,
245,2012-07-25,37967.35,,
